method,seed,trial,cost,safety_margin,safe,violation_steps,best_safe_cost,cumulative_unsafe_trials,predicted_safety_lcb,Kp1,Ki1,Kp2,Ki2
random,2,4,0.34846291481720054,0.6464895019369338,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,2,5,0.3496156281591844,0.6112478110879338,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.037289383635559184
random,2,6,0.3816362563938642,0.9264305177111715,True,0,0.34846291481720054,0,,28.229453320580475,0.11574720687751232,1.2293870015505801,0.004929467578028436
random,2,7,0.3784556882842686,-0.1407811080835608,False,31,0.34846291481720054,1,,16.38066728660095,0.37559635263551844,0.7249835893656833,0.012302291403135926
random,2,8,0.3365017225937873,1.0299045050506355,True,0,0.3365017225937873,1,,1.4854600980836452,0.0033478470091573963,4.996472262866465,0.01509228507892975
random,2,9,0.3334066795955419,-0.8446866485013627,False,186,0.3365017225937873,2,,5.96578324047713,1.4355690185200585,29.574900385981422,0.7459258489609347
random,2,10,0.3635107165647308,-0.8673932788374206,False,548,0.3365017225937873,3,,5.089611615037004,0.02418411499302245,0.5306359533024376,0.24320428762633434
random,2,11,0.394064509490529,1.9711411930201261,True,0,0.3365017225937873,3,,1.3811528888866942,0.06713886479468308,0.45276177029171705,0.004435631715214522
random,2,12,0.3211797904616073,-0.12261580381471404,False,27,0.3365017225937873,4,,10.135297452892832,0.006384804450455804,11.840423724307641,0.013252005649061321
random,2,13,0.34073443234569506,-0.3633060853769299,False,80,0.3365017225937873,5,,1.0420510122157023,0.951872176645588,4.559353272790367,0.2786681652289079
random,2,14,0.3399828893374671,0.17561674709257458,True,0,0.3365017225937873,5,,2.4966165035161585,0.03566100954185101,2.7119218608284728,0.07270070458115364
random,2,15,0.3388730483133772,0.9809264305177112,True,0,0.3365017225937873,5,,2.1520495273213682,0.046045959654862814,28.883066232346618,1.223720669858868
random,2,16,0.3301925502607305,0.7563973942908808,True,0,0.3301925502607305,5,,2.3198171357582815,0.02354081424060433,7.984670723807216,0.10407359613483612
random,2,17,0.3738951548921808,0.5177111716621252,True,0,0.3301925502607305,5,,2.493229374439139,1.340115999575006,1.23577551583003,0.011025242396199316
random,2,18,0.33686035746829307,1.096056030999462,True,0,0.3301925502607305,5,,0.9264029988870212,0.0034340179761400517,21.63284309662695,0.09679966321357089
random,2,19,0.3585876306776307,-0.019362922162685647,False,35,0.3301925502607305,6,,0.4325261256468497,0.022895856807958834,2.12080676221887,0.8672375220354328
random,2,20,0.3723762702263368,-0.7895811132848762,False,348,0.3301925502607305,7,,1.0511902425909891,0.09870085800333449,2.1609891848710023,0.2877396459204491
random,2,21,0.3832258051155453,1.4238664610828315,True,0,0.3301925502607305,7,,0.9804400225750527,0.008863565956094874,0.4496034628544567,0.018723530294177768
random,2,22,0.3516388789544185,-1.3306085376930066,False,595,0.3301925502607305,8,,24.026712594119044,1.2220168860684948,2.382354797191272,0.16552477980292385
random,2,23,0.36638965144281394,1.4500917902897426,True,0,0.3301925502607305,8,,0.6053960626403053,0.7639845833909243,1.6865853307301806,0.007648578611081191
random,2,24,0.32258817400021417,0.36784741144414157,True,0,0.32258817400021417,8,,5.00985730794903,0.1331587145741615,8.605698671635642,0.13834003455620036
random,2,25,0.32680178381665015,-0.34968210717529535,False,77,0.32258817400021417,9,,20.939064562996183,0.0470031902388097,9.964439444237163,0.0037831339026550004
random,2,26,0.3809558456236117,1.6807240047088305,True,0,0.32258817400021417,9,,0.728796491563602,0.12293896840787476,0.9667057595962252,0.003404783679402263
random,2,27,0.33795577730387766,0.06811989100817428,True,0,0.32258817400021417,9,,2.6335855363331744,0.7188616418654339,2.4684928274653033,0.060578261074505764
random,2,28,0.391336331635696,1.5578343680836049,True,0,0.32258817400021417,9,,0.6208553970565476,0.020275137942677365,0.7217855680840217,0.004822806621361304
random,2,29,0.33208133561685177,0.2607684030321966,True,0,0.32258817400021417,9,,2.1616600784707716,0.10776767467672037,0.6989071156790307,0.9072901847568443
random,2,30,0.34684375014948254,1.0760837362747466,True,0,0.32258817400021417,9,,0.8779813888247272,0.020519416943046008,25.62154768880795,0.0912697149755601
bo,2,1,0.3511986036389227,0.7109709443660545,True,0,0.3511986036389227,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
bo,2,2,0.34977798039762925,0.6539509536784743,True,0,0.34977798039762925,0,,2.326254037348541,0.029999999999999995,2.0,0.029999999999999995
bo,2,3,0.35128486787428714,0.7039195249095853,True,0,0.34977798039762925,0,,2.0,0.037289383635559184,2.0,0.029999999999999995
bo,2,4,0.34846291481720054,0.6464895019369338,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
bo,2,5,0.3496156281591844,0.6112478110879338,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.037289383635559184
